size,suite,method,time_s,time_ms
524288,scan,scan_thrust_non_pow2,0.5451775999999999,545.1776
524288,scan,scan_thrust_pow2,0.628941,628.9409999999999
524288,scan,scan_work_efficient_non_pow2,0.0978944,97.8944
524288,scan,scan_work_efficient_pow2,0.38016,380.16
1048576,compact,compact_cpu_with_scan,2.9953600000000002,2995.36
1048576,compact,compact_cpu_without_scan_non_pow2,1.75421,1754.21
1048576,compact,compact_cpu_without_scan_pow2,1.7723099999999998,1772.3099999999997
1048576,compact,compact_work_efficient_non_pow2,0.3465216,346.5216
1048576,compact,compact_work_efficient_pow2,0.6288062,628.8062
1048576,scan,scan_cpu_non_pow2,0.48040000000000005,480.40000000000003
1048576,scan,scan_cpu_pow2,0.52852,528.52
1048576,scan,scan_naive_non_pow2,1.0591262000000001,1059.1262000000002
1048576,scan,scan_naive_pow2,1.0754928,1075.4928
1048576,scan,scan_thrust_non_pow2,0.6916092,691.6092
1048576,scan,scan_thrust_pow2,0.6210556,621.0556
1048576,scan,scan_work_efficient_non_pow2,0.1380352,138.0352
1048576,scan,scan_work_efficient_pow2,0.3988288,398.8288
2097152,compact,compact_cpu_with_scan,6.27128,6271.28
2097152,compact,compact_cpu_without_scan_non_pow2,3.49718,3497.1800000000003
2097152,compact,compact_cpu_without_scan_pow2,3.52559,3525.5899999999997
2097152,compact,compact_work_efficient_non_pow2,1.0557446000000001,1055.7446000000002
2097152,compact,compact_work_efficient_pow2,1.391088,1391.0880000000002
2097152,scan,scan_cpu_non_pow2,1.04164,1041.6399999999999
2097152,scan,scan_cpu_pow2,1.11278,1112.7800000000002
2097152,scan,scan_naive_non_pow2,1.7997699999999999,1799.77
2097152,scan,scan_naive_pow2,1.9385439999999998,1938.5439999999999
2097152,scan,scan_thrust_non_pow2,0.6813662,681.3662
2097152,scan,scan_thrust_pow2,0.5653471999999999,565.3471999999999
2097152,scan,scan_work_efficient_non_pow2,0.547536,547.5360000000001
2097152,scan,scan_work_efficient_pow2,0.8330716,833.0716
4194304,compact,compact_cpu_with_scan,12.955610000000002,12955.610000000002
4194304,compact,compact_cpu_without_scan_non_pow2,7.05673,7056.73
4194304,compact,compact_cpu_without_scan_pow2,7.1262799999999995,7126.28
4194304,compact,compact_work_efficient_non_pow2,1.500159,1500.159
4194304,compact,compact_work_efficient_pow2,1.689376,1689.376
4194304,scan,scan_cpu_non_pow2,2.13388,2133.88
4194304,scan,scan_cpu_pow2,2.1124300000000003,2112.4300000000003
4194304,scan,scan_naive_non_pow2,3.310452,3310.452
4194304,scan,scan_naive_pow2,3.460679,3460.6789999999996
4194304,scan,scan_thrust_non_pow2,0.7572414000000001,757.2414000000001
4194304,scan,scan_thrust_pow2,0.67072,670.72
4194304,scan,scan_work_efficient_non_pow2,0.8794118000000001,879.4118000000001
4194304,scan,scan_work_efficient_pow2,1.0505002,1050.5002000000002
8388608,compact,compact_cpu_with_scan,25.08673,25086.73
8388608,compact,compact_cpu_without_scan_non_pow2,13.936029999999999,13936.029999999999
8388608,compact,compact_cpu_without_scan_pow2,14.08675,14086.75
8388608,compact,compact_work_efficient_non_pow2,1.928093,1928.093
8388608,compact,compact_work_efficient_pow2,2.245267,2245.2670000000003
8388608,scan,scan_cpu_non_pow2,4.20186,4201.86
8388608,scan,scan_cpu_pow2,4.17982,4179.820000000001
8388608,scan,scan_naive_non_pow2,6.392297,6392.2970000000005
8388608,scan,scan_naive_pow2,6.790438,6790.438
8388608,scan,scan_thrust_non_pow2,0.9666653999999999,966.6653999999999
8388608,scan,scan_thrust_pow2,0.9020416000000001,902.0416000000001
8388608,scan,scan_work_efficient_non_pow2,1.078068,1078.068
8388608,scan,scan_work_efficient_pow2,1.628349,1628.3490000000002
16777216,compact,compact_cpu_with_scan,50.72989,50729.89
16777216,compact,compact_cpu_without_scan_non_pow2,28.03945,28039.449999999997
16777216,compact,compact_cpu_without_scan_pow2,27.954590000000003,27954.590000000004
16777216,compact,compact_work_efficient_non_pow2,3.0998609999999998,3099.861
16777216,compact,compact_work_efficient_pow2,3.3914169999999997,3391.4169999999995
16777216,scan,scan_cpu_non_pow2,8.372620000000001,8372.62
16777216,scan,scan_cpu_pow2,8.63163,8631.63
