size,run,suite,method,time_s,time_ms
524288,8,scan,scan_work_efficient_pow2,0.535456,535.456
524288,8,scan,scan_work_efficient_non_pow2,0.080896,80.896
524288,8,scan,scan_thrust_pow2,0.559104,559.104
524288,8,scan,scan_thrust_non_pow2,0.521216,521.216
524288,8,compact,compact_cpu_without_scan_pow2,0.8926,892.5999999999999
524288,8,compact,compact_cpu_without_scan_non_pow2,0.8845,884.5
524288,8,compact,compact_cpu_with_scan,1.4883,1488.3
524288,8,compact,compact_work_efficient_pow2,0.362944,362.944
524288,8,compact,compact_work_efficient_non_pow2,0.197632,197.632
524288,9,scan,scan_cpu_pow2,0.2368,236.8
524288,9,scan,scan_cpu_non_pow2,0.3119,311.90000000000003
524288,9,scan,scan_naive_pow2,0.775712,775.712
524288,9,scan,scan_naive_non_pow2,0.759072,759.072
524288,9,scan,scan_work_efficient_pow2,0.58144,581.4399999999999
524288,9,scan,scan_work_efficient_non_pow2,0.105472,105.472
524288,9,scan,scan_thrust_pow2,0.560128,560.1279999999999
524288,9,scan,scan_thrust_non_pow2,0.482304,482.30400000000003
524288,9,compact,compact_cpu_without_scan_pow2,0.8946,894.5999999999999
524288,9,compact,compact_cpu_without_scan_non_pow2,0.8832,883.1999999999999
524288,9,compact,compact_cpu_with_scan,1.6546,1654.6000000000001
524288,9,compact,compact_work_efficient_pow2,0.364192,364.192
524288,9,compact,compact_work_efficient_non_pow2,0.150528,150.528
524288,10,scan,scan_cpu_pow2,0.2817,281.7
524288,10,scan,scan_cpu_non_pow2,0.316,316.0
524288,10,scan,scan_naive_pow2,0.665056,665.0559999999999
524288,10,scan,scan_naive_non_pow2,0.855264,855.264
524288,10,scan,scan_work_efficient_pow2,0.207776,207.77599999999998
524288,10,scan,scan_work_efficient_non_pow2,0.077824,77.824
524288,10,scan,scan_thrust_pow2,0.574464,574.4639999999999
524288,10,scan,scan_thrust_non_pow2,0.956416,956.416
524288,10,compact,compact_cpu_without_scan_pow2,0.8979,897.9
524288,10,compact,compact_cpu_without_scan_non_pow2,0.8796,879.6
524288,10,compact,compact_cpu_with_scan,1.466,1466.0
524288,10,compact,compact_work_efficient_pow2,0.436096,436.096
524288,10,compact,compact_work_efficient_non_pow2,0.139264,139.264
262144,1,scan,scan_cpu_pow2,0.1314,131.39999999999998
262144,1,scan,scan_cpu_non_pow2,0.0997,99.7
262144,1,scan,scan_naive_pow2,1.42598,1425.98
262144,1,scan,scan_naive_non_pow2,1.02925,1029.25
262144,1,scan,scan_work_efficient_pow2,0.202048,202.048
262144,1,scan,scan_work_efficient_non_pow2,0.083968,83.968
262144,1,scan,scan_thrust_pow2,0.536576,536.576
262144,1,scan,scan_thrust_non_pow2,0.622592,622.592
262144,1,compact,compact_cpu_without_scan_pow2,0.4531,453.1
262144,1,compact,compact_cpu_without_scan_non_pow2,0.4483,448.29999999999995
262144,1,compact,compact_cpu_with_scan,0.7781,778.1
262144,1,compact,compact_work_efficient_pow2,0.221024,221.024
262144,1,compact,compact_work_efficient_non_pow2,0.103424,103.424
262144,2,scan,scan_cpu_pow2,0.1202,120.2
262144,2,scan,scan_cpu_non_pow2,0.1002,100.2
262144,2,scan,scan_naive_pow2,0.5288,528.8000000000001
262144,2,scan,scan_naive_non_pow2,0.388416,388.416
262144,2,scan,scan_work_efficient_pow2,0.202304,202.304
262144,2,scan,scan_work_efficient_non_pow2,0.062464,62.464
262144,2,scan,scan_thrust_pow2,0.549888,549.888
262144,2,scan,scan_thrust_non_pow2,0.546816,546.8159999999999
262144,2,compact,compact_cpu_without_scan_pow2,0.4517,451.7
262144,2,compact,compact_cpu_without_scan_non_pow2,0.4558,455.79999999999995
262144,2,compact,compact_cpu_with_scan,0.7405,740.5
262144,2,compact,compact_work_efficient_pow2,0.349216,349.216
262144,2,compact,compact_work_efficient_non_pow2,0.104448,104.448
262144,3,scan,scan_cpu_pow2,0.128,128.0
262144,3,scan,scan_cpu_non_pow2,0.1123,112.3
262144,3,scan,scan_naive_pow2,0.486112,486.11199999999997
262144,3,scan,scan_naive_non_pow2,0.406784,406.784
262144,3,scan,scan_work_efficient_pow2,0.207776,207.77599999999998
262144,3,scan,scan_work_efficient_non_pow2,0.074752,74.752
262144,3,scan,scan_thrust_pow2,0.576512,576.5120000000001
262144,3,scan,scan_thrust_non_pow2,0.585728,585.7280000000001
262144,3,compact,compact_cpu_without_scan_pow2,0.4498,449.79999999999995
262144,3,compact,compact_cpu_without_scan_non_pow2,0.4545,454.5
262144,3,compact,compact_cpu_with_scan,0.7724,772.4
262144,3,compact,compact_work_efficient_pow2,0.250848,250.848
262144,3,compact,compact_work_efficient_non_pow2,0.113664,113.664
262144,4,scan,scan_cpu_pow2,0.1185,118.5
262144,4,scan,scan_cpu_non_pow2,0.124,124.0
262144,4,scan,scan_naive_pow2,0.512032,512.032
262144,4,scan,scan_naive_non_pow2,0.600384,600.384
262144,4,scan,scan_work_efficient_pow2,0.266528,266.52799999999996
262144,4,scan,scan_work_efficient_non_pow2,0.06144,61.440000000000005
262144,4,scan,scan_thrust_pow2,0.605184,605.1840000000001
